id,mainCriminal
530186,False
564968,False
511192,False
530896,False
512664,False
1815560,False
1783151,False
564989,False
521717,False
511697,False
504749,False
530189,False
122636,False
530191,False
531552,False
2049990,False
757790,False
267005,False
740447,False
541205,False
332559,False
875713,False
519638,False
533415,False
1630762,False
564610,False
1223653,False
2206634,False
2011634,False
1968817,False
465046,False
1729591,False
137344,False
2209360,False
2334981,False
928082,False
2432508,False
530936,False
1785249,False
533331,False
508201,False
539556,False
511658,False
1774544,False
511700,False
548553,False
544407,False
1774676,False
540458,False
1786139,False
1305965,False
1133478,False
1305457,False
1306086,False
2208602,False
388022,False
1479223,False
1064616,False
2309987,False
2181356,False
2332366,False
285222,False
1463543,False
2181385,False
1082408,False
1509223,False
922830,False
2292513,False
1671422,False
1671494,False
1164242,False
432080,False
1440777,False
1406064,False
1067718,False
435956,False
1082398,False
1333629,False
1774554,False
564969,False
507913,False
541660,False
2013327,False
120204,False
514341,False
522428,False
1774545,False
521730,False
521773,False
1783131,False
2432763,False
539766,False
1524684,False
1783909,False
524500,False
1218861,False
505247,False
2136219,False
1751465,False
521721,False
1560755,False
572073,False
533381,False
353835,False
1789112,False
2017431,False
2433213,False
569123,False
521733,False
531551,False
521698,False
533778,False
548023,False
1985085,False
530955,False
1795351,False
1566457,False
506712,False
541153,True
1581267,False
530866,False
502115,False
539181,False
541222,False
2048182,False
518089,False
759819,False
705170,False
697015,False
2028876,False
2313694,False
706080,False
710372,False
753638,False
2113154,False
2113156,False
1783511,False
524511,False
1776460,False
534764,False
1961610,False
1196749,False
1783046,False
1783057,False
2030149,False
2016023,False
566718,False
1316370,False
536632,False
1217354,False
1780203,False
526692,False
133600,False
1187604,False
115118,False
135157,False
547150,False
1323437,False
162364,False
515925,False
1784255,False
1791004,False
525935,False
534883,False
1216420,False
573834,False
759938,False
2433605,False
538410,False
1788124,False
1440708,False
1994835,False
519133,False
2131272,False
547910,False
1375063,False
1562945,False
1567221,False
1567231,False
353419,False
1497227,False
1779043,False
1670313,False
130332,False
1781550,False
137213,False
1397369,False
129247,False
1321315,False
2117479,False
1193719,False
141889,False
1784153,False
2126779,False
1574373,False
561482,False
1665644,False
1053853,False
514033,False
749527,False
2291502,False
1433532,False
547252,False
944013,False
129068,False
174593,False
751128,False
529225,False
1787334,False
1780010,False
539572,False
1373852,False
158744,False
1304439,False
1794472,False
523974,False
2015057,False
422854,False
531625,False
1783331,False
521740,False
1779017,False
526647,False
505187,False
539899,False
541078,False
548086,False
540477,False
503865,False
952699,False
522991,False
1637725,False
538641,False
504724,False
335715,False
536712,False
350643,False
1636786,False
1776035,False
1787995,False
2111993,False
1667933,False
2118368,False
346826,False
1637096,False
346148,False
350612,False
347265,False
1562355,False
510294,False
1509679,False
694383,False
1635831,False
2429586,False
1729587,False
1635839,False
348065,False
346198,False
1638508,False
354523,False
2121322,False
2114116,False
1257172,False
1325156,False
1340301,False
1783255,False
2432975,False
2108411,False
1222312,False
1793020,False
1774698,False
535913,False
541076,False
516598,False
1776455,False
1786135,False
539462,False
1455093,False
679278,False
681030,False
520226,False
541156,False
2004588,False
334920,False
560107,False
533349,False
1789250,False
514372,False
126753,False
1558113,False
539544,False
122982,False
2231136,False
532452,False
1563830,False
548414,False
566960,False
1783856,False
1796550,False
511707,False
1774823,False
1777575,False
131762,False
533145,False
1784014,False
1227952,False
1786142,False
528006,False
1366371,False
1569047,False
542410,False
1781169,False
917129,False
1155101,False
499885,False
530889,False
539653,False
559065,False
504713,False
1566864,False
1776038,False
2196155,False
507710,False
357222,False
508551,False
350764,False
1786136,False
531284,False
1771622,False
494226,False
501540,False
501572,False
1796884,False
523338,False
1562765,False
524465,False
346800,False
350480,False
865316,False
2130747,False
610447,False
1635743,False
1565147,False
351182,False
343432,False
